Gene,MeanTumor,MeanNormal,LogFC,PValue,Padj,AbsLogFC,ENSEMBL_clean,SYMBOL
ENSG00000186480,13.8727103481288,14.3027278269419,-0.430017478813081,0.0321090926298358,0.0587086701993028,0.430017478813081,ENSG00000186480,INSIG1
ENSG00000207445,1.23392207180501,0.803975189268759,0.429946882536252,0.0321128275978625,0.0587117733920181,0.429946882536252,ENSG00000207445,SNORD15B
ENSG00000236980,0.106749567316013,0.0285714285714286,0.0781781387445848,0.0321128896094857,0.0587117733920181,0.0781781387445848,ENSG00000236980,CIMIP7
ENSG00000249162,0.170062603915447,0.0452846428777473,0.1247779610377,0.0321294353479896,0.0587401034239006,0.1247779610377,ENSG00000249162,ADAM20P3
ENSG00000135272,8.97052848860161,9.3081729780699,-0.337644489468293,0.0321394358116275,0.0587564657052481,0.337644489468293,ENSG00000135272,MDFIC
ENSG00000286151,0.340089593775579,0.159570357163462,0.180519236612117,0.0321439146090319,0.0587627326827813,0.180519236612117,ENSG00000286151,
ENSG00000232082,0.560239207799223,0.314285714285714,0.245953493513509,0.0321452322606549,0.0587632205053887,0.245953493513509,ENSG00000232082,RPS6KA2-IT1
ENSG00000270424,0.161249278860022,0.0571428571428571,0.104106421717165,0.0321505794233696,0.058771074219197,0.104106421717165,ENSG00000270424,PAWRP2
ENSG00000120337,3.19681166043792,2.61730913756758,0.579502522870338,0.0321994101797469,0.058858412580388,0.579502522870338,ENSG00000120337,TNFSF18
ENSG00000205339,11.8102289109556,11.5546975691639,0.255531341791739,0.0322186914172613,0.0588917324127635,0.255531341791739,ENSG00000205339,IPO7
ENSG00000115257,7.14407366735147,6.92259491055234,0.221478756799126,0.0322369578845419,0.0589231952547591,0.221478756799126,ENSG00000115257,PCSK4
ENSG00000120875,6.97689442516082,6.50860107132698,0.468293353833839,0.0322471879273967,0.0589399674230578,0.468293353833839,ENSG00000120875,DUSP4
ENSG00000105339,8.25911056556044,7.88236170456049,0.376748860999952,0.0322606717839723,0.058962685475808,0.376748860999952,ENSG00000105339,DENND3
ENSG00000270754,0.0320763461649409,0,0.0320763461649409,0.0322640669560874,0.058966963602795,0.0320763461649409,ENSG00000270754,
ENSG00000184923,3.19218557431979,2.70520895739315,0.486976616926641,0.0322718392727782,0.0589792410148142,0.486976616926641,ENSG00000184923,NUTM2A
ENSG00000086102,10.83827322055,10.6339329198164,0.204340300733545,0.0322888328415391,0.0590083696132206,0.204340300733545,ENSG00000086102,NFX1
ENSG00000264449,0.993179233930793,1.3660781473593,-0.372898913428502,0.0322956644720045,0.0590189258064584,0.372898913428502,ENSG00000264449,LOC121725015
ENSG00000213880,0.291729326950814,0.142857142857143,0.148872184093671,0.0323492458369392,0.0591149116297403,0.148872184093671,ENSG00000213880,RPL7AP7
ENSG00000085465,7.88891807552058,8.3200347431886,-0.43111666766802,0.0323772030963996,0.0591640672991817,0.43111666766802,ENSG00000085465,OVGP1
ENSG00000250640,0.250503504298468,0.102427500020604,0.148076004277863,0.0324009638091815,0.0592055515010144,0.148076004277863,ENSG00000250640,
ENSG00000287054,0.963873610027203,0.680393748320487,0.283479861706716,0.0324147333980589,0.0592287770327152,0.283479861706716,ENSG00000287054,
ENSG00000239883,4.46963677196299,3.95375111773018,0.515885654232807,0.032423869825097,0.0592435355276441,0.515885654232807,ENSG00000239883,
ENSG00000119698,7.32281570363798,7.64285283945263,-0.320037135814649,0.0324387095211202,0.0592687134916877,0.320037135814649,ENSG00000119698,PPP4R4
ENSG00000234842,0.214065307420266,0.0857142857142857,0.12835102170598,0.0324418045903435,0.0592724319230655,0.12835102170598,ENSG00000234842,MTCO2P16
ENSG00000257097,0.873034640094828,0.56662008854898,0.306414551545849,0.0324434492911668,0.059273500318881,0.306414551545849,ENSG00000257097,
ENSG00000203565,0.300583261696946,0.142857142857143,0.157726118839803,0.0324491083523058,0.0592819025572573,0.157726118839803,ENSG00000203565,
ENSG00000236056,2.6976741383249,2.24449722451674,0.453176913808153,0.0324617350946492,0.0593030332221414,0.453176913808153,ENSG00000236056,
