Sample,Class,PC1,PC2
TCGA-EP-A26S-11A,Normal,9.64600144398165,0.00267656272076689
TCGA-2Y-A9H6-01A,Tumor,0.772356340943157,1.72195174074344
TCGA-G3-A3CI-01A,Tumor,2.06644746267792,-1.10873912541606
TCGA-CC-A7IL-01A,Tumor,-1.75427667413101,-3.31381961887941
TCGA-DD-A4NE-01A,Tumor,-0.471001341753518,-0.393143679054996
TCGA-CC-A9FV-01A,Tumor,-1.55077172670928,8.12030479004218
TCGA-DD-AACZ-01A,Tumor,-5.07452348017383,-0.712576418644484
TCGA-DD-AAE4-01A,Tumor,0.849365347439542,-4.44427134455505
TCGA-ED-A5KG-01A,Tumor,-2.65885546069356,5.50055865544805
TCGA-DD-A4ND-01A,Tumor,3.35155493286606,0.39964919624004
TCGA-RC-A6M5-01A,Tumor,1.18467028316331,2.57833156535377
TCGA-FV-A2QQ-01A,Tumor,-0.134005780100278,-0.711086304394028
TCGA-CC-A8HS-01A,Tumor,-3.71322814257223,2.1549803329007
TCGA-DD-A1EH-01A,Tumor,-1.89879246757481,4.27595571224599
TCGA-2Y-A9GX-01A,Tumor,4.44009737838372,0.790816774737611
TCGA-DD-A73F-01A,Tumor,-2.2701997837379,-3.39022418446329
TCGA-BC-A10Z-01A,Tumor,-2.08269360838979,-5.00652730738891
TCGA-BC-A69H-01A,Tumor,-4.96857688913122,0.539440665547774
TCGA-DD-AADR-01A,Tumor,-2.51670002963611,-2.95487630133156
TCGA-ZP-A9CV-01A,Tumor,0.370646471158786,-0.816542238255021
TCGA-ED-A7XP-01A,Tumor,1.51862799012027,2.52837602292042
TCGA-DD-A4NL-01A,Tumor,4.7037299136578,-1.4268223111613
TCGA-G3-A5SM-01A,Tumor,1.37330860983732,-0.846965490682077
TCGA-FV-A2QR-01A,Tumor,-2.12173772571435,-1.58253588877748
TCGA-DD-AACK-01A,Tumor,-1.42372798682227,-5.14201538729031
TCGA-DD-A3A5-11A,Normal,8.78929371538611,-0.390583736372622
TCGA-5R-AA1D-01A,Tumor,0.454769803519571,2.39513262644567
TCGA-CC-A123-01A,Tumor,-5.29709758985893,1.83934887838248
TCGA-CC-A7IK-01A,Tumor,-4.09635635449828,-0.793665382582332
TCGA-DD-AADY-01A,Tumor,-1.72200216016252,3.57043918284703
TCGA-DD-A39V-11A,Normal,8.42618591316113,0.342411511838792
TCGA-DD-A39V-01A,Tumor,-4.85576973368154,1.42101926407162
TCGA-G3-A25V-01A,Tumor,4.42237034646639,-1.11492113520701
TCGA-2Y-A9H9-01A,Tumor,-1.91025261859919,-3.92834270824502
TCGA-BC-A8YO-01A,Tumor,-3.96728642589878,-1.26832448094438
TCGA-RC-A7S9-01A,Tumor,-3.81722971545386,-0.397840502758895
TCGA-G3-AAV3-01A,Tumor,-1.37091092834324,-0.662130229220325
TCGA-UB-AA0V-01A,Tumor,8.44714896044637,1.22069879864297
TCGA-2Y-A9H5-01A,Tumor,1.39359696266395,2.95692044278568
TCGA-CC-A8HV-01A,Tumor,-4.43961924373542,3.64932484538096
TCGA-BC-A5W4-01A,Tumor,-3.33766313270211,-2.15773619127302
TCGA-DD-A1EE-11A,Normal,7.84919590723758,0.41575774565648
TCGA-DD-A3A7-01A,Tumor,-5.81690557543222,0.266126157402159
TCGA-G3-AAV7-01A,Tumor,-4.79046563868366,2.61606786089547
TCGA-DD-A4NI-01A,Tumor,3.6088677706628,-2.78330711722514
TCGA-CC-A9FU-01A,Tumor,-5.71175477577316,-0.0973608804951226
TCGA-DD-AAE0-01A,Tumor,-3.00568353403891,5.17859094733137
TCGA-CC-5264-01A,Tumor,-2.60786862155632,-0.837326154072251
TCGA-DD-AADB-01A,Tumor,-4.99277778564443,0.39463547361125
TCGA-BC-A216-11A,Normal,8.99356138853528,0.391214259564037
TCGA-BC-A10Y-01A,Tumor,-2.2124395480669,-3.99429696028748
TCGA-CC-A3MA-01A,Tumor,3.44574890454607,4.2598235270155
TCGA-DD-A73B-01A,Tumor,-0.948244917553081,-2.9614504914633
TCGA-DD-A119-11A,Normal,9.36875693181844,0.440866957238597
TCGA-RC-A7SF-01A,Tumor,-3.00989045294199,-3.02788308408984
TCGA-DD-AACW-01A,Tumor,-3.4832424521527,-0.280969030672813
TCGA-DD-AACB-01A,Tumor,-4.0264107332408,0.95949184163305
TCGA-DD-A3A8-01A,Tumor,-1.3691596541131,-2.52459724346703
TCGA-DD-A3A8-11A,Normal,8.39179982649383,0.34457226608931
TCGA-CC-5258-01A,Tumor,-3.22885415645118,0.770499552261168
TCGA-5C-AAPD-01A,Tumor,-2.2857409004529,-0.356678918298899
TCGA-ED-A459-01A,Tumor,-2.31811649359297,-0.815811524158616
TCGA-DD-AAE2-01A,Tumor,2.70046524639531,-4.44507580904941
TCGA-DD-AAW3-01A,Tumor,-0.892859254643665,-1.20184093202421
TCGA-BW-A5NP-01A,Tumor,-4.21370080761978,4.62934189844157
TCGA-DD-A4NK-01A,Tumor,1.23873415725305,-3.37295193110697
TCGA-DD-AA3A-01A,Tumor,-1.37404107336699,5.04125871003865
TCGA-BC-4072-01B,Tumor,-1.12782654114296,2.69374209122622
TCGA-DD-A73G-01A,Tumor,-3.42480413249759,1.93423027610591
TCGA-XR-A8TD-01A,Tumor,2.05004528082696,0.845977143274619
TCGA-KR-A7K0-01A,Tumor,2.10377562883068,-1.01850254307956
TCGA-DD-A11A-01A,Tumor,-2.81557488240323,-3.13185162627239
TCGA-DD-AADM-01A,Tumor,-1.80426578349481,-1.80064752199013
TCGA-DD-AACF-01A,Tumor,-3.04342755121967,-0.845360086709534
TCGA-DD-AADV-01A,Tumor,3.0540975367152,-3.04895267917392
TCGA-5C-A9VH-01A,Tumor,-1.150988109743,2.71854765256622
TCGA-DD-A3A6-11A,Normal,7.85236936000396,-0.218281925010136
TCGA-DD-A4NV-01A,Tumor,5.32825432917293,-1.48024242487942
TCGA-DD-A3A6-01A,Tumor,-1.76113565510265,6.47370124322426
TCGA-FV-A3I1-01A,Tumor,-0.881668261687719,-0.991592133181057
TCGA-DD-AAVZ-01A,Tumor,-0.227719918241572,1.09316861988022
TCGA-DD-A1EC-11A,Normal,9.87551660390296,0.537397620038702
TCGA-ZS-A9CD-01A,Tumor,-0.412228528221265,-0.805622986463879
TCGA-UB-A7MD-01A,Tumor,-0.0666127871857808,-2.24335900834128
TCGA-DD-A1EB-01A,Tumor,0.79214100814224,-1.4427096932793
TCGA-WJ-A86L-01A,Tumor,-3.36045058346793,-2.83455478561374
TCGA-FV-A4ZQ-01A,Tumor,-4.37057681631612,-0.127605573487526
TCGA-LG-A9QD-01A,Tumor,2.1719379936247,-2.90726797879192
